0,CombatZoneResize,241,226,406,391,TLResume,,,,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,,,,,,
0,SET,Loop,9,,,,,,,,,,,,,,,
0,JMPZ,26,$Loop,,,,,,,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,,,,,,,
0,RND,Direction,4,,,,,,,,,,,,,,,
0,ADD,Jump,$Direction,1,,,,,,,,,,,,,,
0,JMPREL,$Jump,,,,,,,,,,,,,,,,
0,JMPREL,4,,,,,,,,,,,,,,,,
0,JMPREL,5,,,,,,,,,,,,,,,,
0,JMPREL,6,,,,,,,,,,,,,,,,
0,JMPREL,7,,,,,,,,,,,,,,,,
0,SansBody,HandRight,,,,,,,,,,,,,,,,
0,JMPREL,7,,,,,,,,,,,,,,,,
0,SansBody,HandDown,,,,,,,,,,,,,,,,
0,JMPREL,5,,,,,,,,,,,,,,,,
0,SansBody,HandLeft,,,,,,,,,,,,,,,,
0,JMPREL,3,,,,,,,,,,,,,,,,
0,SansBody,HandUp,,,,,,,,,,,,,,,,
0,JMPREL,1,,,,,,,,,,,,,,,,
0.26666,SansSlam,$Direction,,,,,,,,,,,,,,,,
0.2,BoneStab,$Direction,15,0.4,0.1,,,,,,,,,,,,,
0.43333,JMPABS,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
0,SansHead,NoEyes,,,,,,,,,,,,,,,,
0,SansText,You'll keep consuming         timelines over and over       until. . .,,,,,,,,,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,,,,,,,,,
0,SansText,well.,,,,,,,,,,,,,,,,
0,SansTorso,Shrug,,,,,,,,,,,,,,,,
0,SansText,Hey.,,,,,,,,,,,,,,,,
0,SansHead,Wink,,,,,,,,,,,,,,,,
0,SansText,Take it from me kid.,,,,,,,,,,,,,,,, 
0,SansText,Someday. . .,,,,,,,,,,,,,,,,
0,SansText,You gotta learn             when to QUIT.,,,,,,,,,,,,,,,,
0,SansHead,Default,,,,,,,,,,,,,,,,
0,SansTorso,Default,,,,,,,,,,,,,,,,
0,EndAttack,,,,,,,,,,,,,,,,,
0,sanshead,blueeye,,,,,,,,,,,,,,,,
